2026-01-16 13:23:31 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:31 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:31 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:31 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:32 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:32 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:32 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:33 - Port scan detected from 127.0.0.1 (Unknown)
2026-01-16 13:23:33 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:33 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:34 - Port scan detected from 127.0.0.1 (Unknown)
2026-01-16 13:23:34 - Port scan detected from 127.0.0.1 (Unknown)
2026-01-16 13:23:34 - Port scan detected from 127.0.0.1 (Unknown)
2026-01-16 13:23:35 - Port scan detected from 127.0.0.1 (Unknown)
2026-01-16 13:23:35 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:35 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:35 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:35 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:36 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:36 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:36 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:36 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:36 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:37 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:37 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:37 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:37 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:37 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:38 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:38 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:38 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:38 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:38 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:38 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:39 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:39 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:39 - Port scan detected from 127.0.0.1 (Unknown)
2026-01-16 13:23:39 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:39 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:39 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:39 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:40 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:40 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:40 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:40 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:40 - Port scan detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:40 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
